Listing Name,Check-in Date,Check-out Date,Booked Date,Average Daily Rate,Rental Revenue,Total Revenue,Currency,Booking Source,Booking Status
Sauna  Cold Plunge  5 BR,2026-09-14,2026-09-15,2026-09-11,207,207,387,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-09-25,2026-09-27,2026-09-11,455.27,910.54,1090.54,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-09-10,2026-09-11,2026-09-10,188.58,188.58,368.58,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-09-09,2026-09-10,2026-09-10,315.9,315.9,495.9,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-09-04,2026-09-06,2026-09-04,414.54,829.08,1009.08,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2027-02-25,2027-02-28,2026-08-18,1499.4,4498.2,4728.2,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-08-13,2026-08-16,2026-08-10,461,1383,1913,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-12-29,2027-01-03,2026-08-08,1123.52,5617.6,6279.6,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2027-02-03,2027-02-07,2026-07-28,970.06,3880.25,4110.25,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-09-16,2026-09-17,2026-07-26,333,333,594,USD,Homeaway,Booked
Sauna  Cold Plunge  5 BR,2026-08-11,2026-08-13,2026-07-25,305.1,610.2,810.2,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-09-17,2026-09-20,2026-07-23,699.93,2099.8,2479.8,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-10-07,2026-10-09,2026-07-21,454.05,908.1,1108.1,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-10-25,2026-10-29,2026-07-19,482.75,1931,2161,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-07-18,2026-07-19,2026-07-17,342.9,342.9,542.9,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-07-16,2026-07-17,2026-07-16,240.8,240.8,440.8,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-09-30,2026-10-01,2026-07-14,396.9,396.9,596.9,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-07-13,2026-07-14,2026-07-12,256.2,256.2,456.2,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-07-31,2026-08-02,2026-07-12,598.5,1197,1397,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-08-05,2026-08-07,2026-07-11,362.25,724.5,924.5,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-07-10,2026-07-12,2026-07-10,290.03,580.06,1068.06,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-07-20,2026-07-23,2026-07-09,284,852,1226,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2027-01-22,2027-01-27,2026-07-09,647.46,3237.3,3467.3,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-10-18,2026-10-21,2026-07-05,525,1575,1805,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-09-06,2026-09-09,2026-06-26,352.8,1058.4,1576.4,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-07-05,2026-07-09,2026-06-22,300.82,1203.3,1433.3,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-06-23,2026-06-29,2026-06-21,330.91,1985.45,2365.45,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-06-21,2026-06-22,2026-06-16,373,373,573,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-11-04,2026-11-08,2026-06-14,916.94,3667.75,3897.75,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-06-18,2026-06-21,2026-06-11,447.3,1341.9,1721.9,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-08-07,2026-08-10,2026-06-11,576.7,1730.1,1960.1,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-07-01,2026-07-05,2026-06-06,431.86,1727.45,1957.45,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-07-12,2026-07-13,2026-05-25,396.9,396.9,596.9,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-06-14,2026-06-18,2026-05-24,308.7,1234.8,1608.8,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-05-24,2026-05-25,2026-05-24,270.28,270.28,470.28,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-05-22,2026-05-24,2026-05-12,644.85,1289.7,1633.7,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-08-27,2026-08-30,2026-05-11,867.17,2601.5,3156.5,USD,Homeaway,Booked
Sauna  Cold Plunge  5 BR,2026-06-03,2026-06-04,2026-05-03,349.2,349.2,549.2,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-07-23,2026-07-27,2026-04-30,681.65,2726.6,2956.6,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-05-04,2026-05-08,2026-04-27,301.21,1204.85,2010.85,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-05-08,2026-05-11,2026-04-26,493,1479,1709,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-10-21,2026-10-22,2026-04-23,511.2,511.2,711.2,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-04-20,2026-04-21,2026-04-20,272.7,272.7,472.7,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-04-22,2026-04-23,2026-04-20,269.1,269.1,469.1,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-10-22,2026-10-25,2026-03-25,962.76,2888.27,3527.27,USD,Homeaway,Booked
Sauna  Cold Plunge  5 BR,2026-04-06,2026-04-08,2026-03-23,438.4,876.8,1076.8,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-05-01,2026-05-04,2026-03-22,778.03,2334.09,2822.09,USD,Homeaway,Booked
Sauna  Cold Plunge  5 BR,2026-05-28,2026-06-01,2026-03-22,708.5,2834,3064,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-03-30,2026-04-01,2026-03-16,474.3,948.6,1148.6,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-08-04,2026-08-05,2026-03-16,511.2,511.2,711.2,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-05-14,2026-05-19,2026-03-12,662.4,3312,3542,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-03-15,2026-03-19,2026-03-10,264.6,1058.4,1576.4,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-03-27,2026-03-30,2026-03-07,726.51,2179.52,2409.52,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-05-11,2026-05-14,2026-03-03,544.5,1633.5,2094.5,USD,Homeaway,Booked
Sauna  Cold Plunge  5 BR,2026-03-12,2026-03-15,2026-03-01,838.89,2516.67,6880.67,USD,Homeaway,Booked
Sauna  Cold Plunge  5 BR,2026-06-04,2026-06-07,2026-02-25,852.3,2556.9,2786.9,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-02-22,2026-02-23,2026-02-23,226.8,226.8,426.8,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-02-24,2026-02-25,2026-02-21,360,360,560,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-03-08,2026-03-11,2026-02-20,293,879,1109,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-04-08,2026-04-12,2026-02-19,829.6,3318.4,3548.4,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-08-20,2026-08-23,2026-02-18,738,2214,2444,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-03-19,2026-03-22,2026-02-17,790.2,2370.6,2600.6,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-03-22,2026-03-27,2026-02-14,520.98,2604.9,3410.9,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-02-15,2026-02-19,2026-02-13,321.3,1285.2,1515.2,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-03-06,2026-03-08,2026-02-12,660,1320,1520,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-06-08,2026-06-11,2026-02-09,568,1704,1934,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-04-26,2026-04-29,2026-02-07,495.33,1486,1686,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-02-08,2026-02-12,2026-02-04,369.5,1478,1708,USD,Airbnb,Booked
Sauna  Cold Plunge  5 BR,2026-02-12,2026-02-15,2026-01-29,731.67,2195,2425,USD,Airbnb,Booked
